analysis_species_id,analysis_species_name,usgs_mapping_class,usgs_review_required_flag,canonical_layer_flag,canonical_layer_key,atlas_table1_row_id,atlas_original_source_name,atlas_current_accepted_name_field,atlas_current_name_authors,atlas_layer_rank,atlas_layer_href,atlas_layer_key,atlas_number_gridpoints,atlas_primary_source,atlas_unique_sources,atlas_notes,atlas_status,atlas_shared_resolved_species_count,atlas_unresolved_components,decision_status,review_reason
6364,Alnus glutinosa,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
35016,Castanea mollissima,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
35028,Castanea pumila,MULTIPLE_OTHER_LAYERS,1,0,,ATLASG-0120,Castanea alnifolia,Castanea pumila,(L.) Mill.,SPECIES,individual_taxa/atlas_pages/Castanea_alnifolia.pdf,Castanea_alnifolia,74,Little (1977),,,redigitized,1,,MAINLINE_REVIEW_REQUIRED,MULTIPLE_OTHER_LAYERS
35028,Castanea pumila,MULTIPLE_OTHER_LAYERS,1,0,,ATLASG-0123,Castanea pumila,Castanea pumila,(L.) Mill.,SPECIES,individual_taxa/atlas_pages/Castanea_pumila.pdf,Castanea_pumila,1340,Little (1977),,,redigitized,1,,MAINLINE_REVIEW_REQUIRED,MULTIPLE_OTHER_LAYERS
73008,Eucalyptus globulus,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
73044,Eucalyptus grandis,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
117583,Magnolia fraseri,MULTIPLE_OTHER_LAYERS,1,0,,ATLASG-0356,Magnolia fraseri,Magnolia fraseri,Walter,SPECIES,individual_taxa/atlas_pages/Magnolia_fraseri.pdf,Magnolia_fraseri,117,Little (1977),,,redigitized,1,,MAINLINE_REVIEW_REQUIRED,MULTIPLE_OTHER_LAYERS
117583,Magnolia fraseri,MULTIPLE_OTHER_LAYERS,1,0,,ATLASG-0359,Magnolia pyramidata,Magnolia pyramidata,W. Bartram,SPECIES,individual_taxa/atlas_pages/Magnolia_pyramidata.pdf,Magnolia_pyramidata,60,Little (1977),,,redigitized,1,,MAINLINE_REVIEW_REQUIRED,MULTIPLE_OTHER_LAYERS
123857,Melaleuca quinquenervia,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
136191,Nyssa biflora,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
171430,Quercus acutissima,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
171890,Quercus buckleyi,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
172866,Quercus geminata,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
172964,Quercus graciliformis,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
173053,Quercus hemisphaerica,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
173316,Quercus incana,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
173817,Quercus macrocarpa,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
173929,Quercus michauxii,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
173948,Quercus minima,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
174226,Quercus pagoda,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
174518,Quercus prinoides,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
175172,Quercus similis,UNRESOLVED,1,0,,,,,,,,,,,,,,0,,MAINLINE_REVIEW_REQUIRED,No Atlas G Table 1 row resolved by exact WCVP relations to this accepted analysis species.
